,strain,growth_rate,GUR,OUR,APR,LPR,biomass_yield,Nexpressed,peptide_per_complex,cofactor_per_complex
14,T_30_ps_0.14_pd_025_pg_0025_ETCfixi_MLkeff,0.26406250000000003,4.345722992496737,5.155901152935698,4.2187481045074025,0.0,0.33745762407390745,582,2.8364928909952605,3.862559241706161
55,T_30_ps_0.14_pd_025_pg_005_ETCfixi_AliKeff,0.25234375000000003,4.206712787106252,5.030528625468831,4.128258561673627,0.0,0.33313805416435355,582,2.8364928909952605,3.862559241706161
30,T_30_ps_0.14_pd_025_pg_005_ETCfixi_MLkeff,0.26406250000000003,4.345723143082613,5.155901362770297,4.218748446822343,0.0,0.33745761238049066,582,2.8364928909952605,3.862559241706161
35,T_30_ps_0.14_pd_025_pg_075_ETCfixi_MLkeff,0.26406250000000003,4.345722958436451,5.155901414440797,4.218747937591895,0.0,0.3374576267187845,580,2.7933491686460807,3.821852731591449
61,T_30_ps_0.14_pd_050_pg_001_ETCfixi_MLkeff,0.26406250000000003,4.345722992496737,5.155901152935698,4.2187481045074025,0.0,0.33745762407390745,582,2.8364928909952605,3.862559241706161
24,T_30_ps_0.14_pd_050_pg_005_ETCfixi_AliKeff,0.25234375000000003,4.206724581047675,5.030545398403992,4.128285309314606,0.0,0.33313712018100833,582,2.8364928909952605,3.862559241706161
27,T_30_ps_0.14_pd_050_pg_005_ETCfixi_MLkeff,0.26406250000000003,4.345736084476236,5.155919396158157,4.218777865403377,0.0,0.3374566074479066,582,2.8364928909952605,3.862559241706161
64,T_30_ps_0.14_pd_050_pg_010_ETCfixi_MLkeff,0.26406250000000003,4.345735876364214,5.155919415124665,4.218777302831406,0.0,0.3374566236082943,580,2.7933491686460807,3.821852731591449
2,T_30_ps_0.14_pd_050_pg_025_ETCfixi_MLkeff,0.26406250000000003,4.345735876364214,5.155919415124665,4.218777302831406,0.0,0.3374566236082943,580,2.7933491686460807,3.821852731591449
3,T_30_ps_0.14_pd_050_pg_050_ETCfixi_MLkeff,0.26406250000000003,4.345735876364214,5.155919415124665,4.218777302831406,0.0,0.3374566236082943,580,2.7933491686460807,3.821852731591449
53,T_30_ps_0.14_pd_050_pg_075_ETCfixi_MLkeff,0.26406250000000003,4.345735876364214,5.155919415124665,4.218777302831406,0.0,0.3374566236082943,580,2.7933491686460807,3.821852731591449
58,T_37_ps_0.14_pd_025_pg_0025_ETCfixi_MLkeff,0.4964843750000001,7.15251105039109,7.76623629763115,5.992858438366167,0.0,0.38549753152419175,581,2.833729216152019,3.8646080760095014
29,T_37_ps_0.14_pd_025_pg_005_ETCfixi_AliKeff,0.4779296875000001,6.93144152804708,7.5629374611552596,5.849615094827854,0.0,0.3829261259737214,583,2.8250591016548463,3.851063829787234
4,T_37_ps_0.14_pd_025_pg_005_ETCfixi_MLkeff,0.4955078125000001,7.140315941996328,7.754429897027272,5.984673851143076,0.0,0.3853963801479477,581,2.833729216152019,3.8646080760095014
63,T_37_ps_0.14_pd_025_pg_075_ETCfixi_MLkeff,0.4955078125000001,7.140338467956226,7.754487540955777,5.984737199595481,0.0,0.3853951643199526,579,2.7904761904761903,3.823809523809524
26,T_37_ps_0.14_pd_050_pg_005_ETCfixi_AliKeff,0.4779296875000001,6.931632847978056,7.563406553750388,5.849975206885543,0.0,0.3829155568334341,583,2.8203309692671397,3.8463356973995273
16,T_37_ps_0.14_pd_050_pg_005_ETCfixi_MLkeff,0.4964843750000001,7.152400000826047,7.766147837228478,5.992605106827376,0.0,0.38550351683446477,581,2.828978622327791,3.8598574821852734
11,T_37_ps_0.14_pd_050_pg_010_ETCfixi_MLkeff,0.4964843750000001,7.152421059815885,7.766186163648647,5.992657150893669,0.0,0.3855023817901803,581,2.828978622327791,3.8598574821852734
71,T_37_ps_0.14_pd_050_pg_025_ETCfixi_MLkeff,0.4964843750000001,7.152405507461965,7.76618157124685,5.992629688977466,0.0,0.3855032200353654,579,2.7857142857142856,3.8190476190476192
17,T_37_ps_0.14_pd_050_pg_050_ETCfixi_MLkeff,0.4964843750000001,7.152405507461965,7.76618157124685,5.992629688977466,0.0,0.3855032200353654,579,2.7857142857142856,3.8190476190476192
22,T_37_ps_0.14_pd_050_pg_075_ETCfixi_MLkeff,0.4964843750000001,7.152405507461965,7.76618157124685,5.992629688977466,0.0,0.3855032200353654,579,2.7857142857142856,3.8190476190476192
8,T_40_ps_0.14_pd_025_pg_0025_ETCfixi_MLkeff,0.6058593750000001,6.79971643071808,9.418378459279348,1.6082377498439777,0.0,0.49482950189681896,572,2.839328537170264,3.8872901678657072
0,T_40_ps_0.14_pd_025_pg_005_ETCfixi_AliKeff,0.5873046875000001,6.622351111987507,9.205162633558677,1.597994388047581,0.0,0.4925222080373993,576,2.835322195704057,3.8782816229116945
7,T_40_ps_0.14_pd_025_pg_005_ETCfixi_MLkeff,0.6058593750000001,6.79924113484537,9.41778739563374,1.6083148241852245,0.0,0.49486409258352687,574,2.8305489260143197,3.873508353221957
25,T_40_ps_0.14_pd_025_pg_075_ETCfixi_MLkeff,0.6048828125000001,6.789684996433149,9.406070185708383,1.607893661351212,0.0,0.4947618128454241,572,2.787081339712919,3.8325358851674642
31,T_40_ps_0.14_pd_050_pg_005_ETCfixi_AliKeff,0.5941406250000001,6.688192795028191,9.284832770532196,1.5993765147180419,0.0,0.4933498707301419,577,2.830952380952381,3.8714285714285714
49,T_40_ps_0.14_pd_050_pg_005_ETCfixi_MLkeff,0.6136718750000001,6.8751732171564415,9.510503730053955,1.6100344067297856,0.0,0.49570937088317235,575,2.839712918660287,3.8851674641148324
43,T_40_ps_0.14_pd_050_pg_010_ETCfixi_MLkeff,0.6126953125000001,6.865618528507331,9.498742537149964,1.609604255880901,0.0,0.49560929420907324,577,2.830952380952381,3.8714285714285714
32,T_40_ps_0.14_pd_050_pg_025_ETCfixi_MLkeff,0.6126953125000001,6.86560055977111,9.498735072286477,1.609584215521449,0.0,0.4956105913239576,573,2.7961630695443644,3.8441247002398082
72,T_40_ps_0.14_pd_050_pg_050_ETCfixi_MLkeff,0.6126953125000001,6.86560055977111,9.498735072286477,1.609584215521449,0.0,0.4956105913239576,573,2.7961630695443644,3.8441247002398082
62,T_40_ps_0.14_pd_050_pg_075_ETCfixi_MLkeff,0.6126953125000001,6.86560055977111,9.498735072286477,1.609584215521449,0.0,0.4956105913239576,573,2.7961630695443644,3.8441247002398082
36,T_41_ps_0.14_pd_025_pg_0025_ETCfixi_MLkeff,0.6205078125000001,6.900891125298489,9.485750833872332,1.5488197277201767,0.0,0.4993633121274337,574,2.8329355608591884,3.873508353221957
45,T_41_ps_0.14_pd_025_pg_005_ETCfixi_AliKeff,0.6029296875000001,6.734728033471884,9.287077255382512,1.5409269987186611,0.0,0.4971885972096274,576,2.824228028503563,3.8598574821852734
46,T_41_ps_0.14_pd_025_pg_005_ETCfixi_MLkeff,0.6195312500000001,6.891499514031127,9.474380172701059,1.5486284366179874,0.0,0.4992568605696813,574,2.8329355608591884,3.873508353221957
42,T_41_ps_0.14_pd_025_pg_075_ETCfixi_MLkeff,0.6195312500000001,6.891518736476469,9.474516823801752,1.5486709935799987,0.0,0.49925546799743703,572,2.789473684210526,3.8325358851674642
33,T_41_ps_0.14_pd_050_pg_005_ETCfixi_AliKeff,0.6185546875000001,6.926554964543426,9.57929441533463,1.613418207850645,0.0,0.4959471183885856,576,2.821852731591449,3.8598574821852734
41,T_41_ps_0.14_pd_050_pg_005_ETCfixi_MLkeff,0.6371093750000001,7.059584131740633,9.676643490674337,1.5508028765571968,0.0,0.5011981175341402,574,2.8329355608591884,3.873508353221957
39,T_41_ps_0.14_pd_050_pg_010_ETCfixi_MLkeff,0.6361328125000001,7.050130566494468,9.665099003296998,1.5505042256248147,0.0,0.5011009097086435,576,2.824228028503563,3.8598574821852734
18,T_41_ps_0.14_pd_050_pg_025_ETCfixi_MLkeff,0.6361328125000001,7.050092536826624,9.66506471119887,1.5504593478249067,0.0,0.5011036127513415,572,2.789473684210526,3.8325358851674642
13,T_41_ps_0.14_pd_050_pg_050_ETCfixi_MLkeff,0.6361328125000001,7.050092536826624,9.66506471119887,1.5504593478249067,0.0,0.5011036127513415,572,2.789473684210526,3.8325358851674642
54,T_41_ps_0.14_pd_050_pg_075_ETCfixi_MLkeff,0.6361328125000001,7.050092536826624,9.66506471119887,1.5504593478249067,0.0,0.5011036127513415,572,2.789473684210526,3.8325358851674642
47,T_42_ps_0.14_pd_025_pg_0025_ETCfixi_MLkeff,0.5970703125000001,6.679608152005518,9.225933467630107,1.5540497342477297,0.0,0.49641974293828156,573,2.8373205741626792,3.8803827751196174
69,T_42_ps_0.14_pd_025_pg_005_ETCfixi_AliKeff,0.5824218750000001,6.540943272947281,9.060155978955079,1.5470410255444027,0.0,0.4945063230584412,575,2.8285714285714287,3.8666666666666667
19,T_42_ps_0.14_pd_025_pg_005_ETCfixi_MLkeff,0.5970703125000001,6.6797094190487165,9.226216251144258,1.5542051721095695,0.0,0.4964122170181555,573,2.8373205741626792,3.8803827751196174
37,T_42_ps_0.14_pd_025_pg_075_ETCfixi_MLkeff,0.5960937500000001,6.670201138803394,9.214619919017684,1.5538682339912673,0.0,0.4963067613540828,571,2.7937649880095923,3.839328537170264
68,T_42_ps_0.14_pd_050_pg_001_ETCfixi_MLkeff,0.5970703125000001,6.679608152005518,9.225933467630107,1.5540497342477297,0.0,0.49641974293828156,573,2.8373205741626792,3.8803827751196174
12,T_42_ps_0.14_pd_050_pg_005_ETCfixi_AliKeff,0.6136718750000001,6.8403607120557055,9.419883758804453,1.5503982216128473,0.0,0.49823217424527266,576,2.824228028503563,3.8598574821852734
59,T_42_ps_0.14_pd_050_pg_005_ETCfixi_MLkeff,0.6302734375000001,6.9974957952758725,9.60823423167096,1.558348350357688,0.0,0.5002198387878967,574,2.8329355608591884,3.873508353221957
67,T_42_ps_0.14_pd_050_pg_010_ETCfixi_MLkeff,0.6302734375000001,6.997544601987028,9.608370003400442,1.558421912509723,0.0,0.5002163498376185,577,2.8270142180094786,3.860189573459716
65,T_42_ps_0.14_pd_050_pg_025_ETCfixi_MLkeff,0.6292968750000001,6.987992725725307,9.59661879628267,1.5579901782343066,0.0,0.5001239867922068,572,2.789473684210526,3.8325358851674642
20,T_42_ps_0.14_pd_050_pg_050_ETCfixi_MLkeff,0.6292968750000001,6.987992725641771,9.596618796207379,1.557990178260969,0.0,0.5001239867981854,575,2.7838479809976246,3.8194774346793348
52,T_42_ps_0.14_pd_050_pg_075_ETCfixi_MLkeff,0.6292968750000001,6.987992919029067,9.59661897474404,1.557990121524825,0.0,0.5001239729576411,575,2.7838479809976246,3.8194774346793348
57,T_44_ps_0.14_pd_025_pg_0025_ETCfixi_MLkeff,0.3978515625000001,4.771997258447589,6.960925352416901,1.5496503191793423,0.0,0.46301540021351617,576,2.838479809976247,3.8812351543942993
1,T_44_ps_0.14_pd_025_pg_005_ETCfixi_AliKeff,0.3871093750000001,4.66900964722063,6.837806457781614,1.5448354981878003,0.0,0.46045105412846155,576,2.838479809976247,3.8812351543942993
50,T_44_ps_0.14_pd_025_pg_005_ETCfixi_MLkeff,0.3978515625000001,4.772038988543067,6.9610425124018045,1.5497197703130643,0.0,0.4630113512782697,576,2.8364928909952605,3.8791469194312795
70,T_44_ps_0.14_pd_025_pg_075_ETCfixi_MLkeff,0.3978515625000001,4.772053871886613,6.961098029001341,1.5497451660541104,0.0,0.46300990721305335,577,2.7806603773584904,3.818396226415094
28,T_44_ps_0.14_pd_050_pg_001_ETCfixi_MLkeff,0.3978515625000001,4.771997040331977,6.960924913129372,1.5496502343794596,0.0,0.4630154213767497,576,2.838479809976247,3.8812351543942993
56,T_44_ps_0.14_pd_050_pg_005_ETCfixi_AliKeff,0.4417968750000001,5.196390352074678,7.466377064984971,1.551733795531901,0.0,0.4721667768824158,577,2.8297872340425534,3.8699763593380614
38,T_44_ps_0.14_pd_050_pg_005_ETCfixi_MLkeff,0.4535156250000001,5.308440446116059,7.600263558790009,1.5568066999544827,0.0,0.4744602775776033,578,2.8254716981132075,3.8632075471698113
10,T_44_ps_0.14_pd_050_pg_010_ETCfixi_MLkeff,0.4535156250000001,5.308461186801823,7.6003229238061385,1.5568406708644742,0.0,0.4744584238141154,578,2.8254716981132075,3.8632075471698113
34,T_44_ps_0.14_pd_050_pg_025_ETCfixi_MLkeff,0.4535156250000001,5.308448335201361,7.600306515232768,1.5568212541429043,0.0,0.4744595724642884,573,2.7971360381861574,3.844868735083532
6,T_44_ps_0.14_pd_050_pg_050_ETCfixi_MLkeff,0.4535156250000001,5.308448124705527,7.60030632533848,1.5568213195246257,0.0,0.4744595912780285,576,2.7825059101654848,3.8226950354609928
9,T_44_ps_0.14_pd_050_pg_075_ETCfixi_MLkeff,0.4535156250000001,5.308447928589665,7.600305838864948,1.5568211876486446,0.0,0.47445960880651383,576,2.7825059101654848,3.8226950354609928
60,T_45_ps_0.14_pd_025_pg_0025_ETCfixi_MLkeff,0.26406250000000003,3.43526268230664,5.54502028035353,1.3348392519604069,0.0,0.4268952599999154,573,2.84688995215311,3.897129186602871
48,T_45_ps_0.14_pd_025_pg_005_ETCfixi_AliKeff,0.25429687500000003,3.336188350022656,5.442960235157611,1.3111454365802895,0.0,0.42331632332739655,573,2.84688995215311,3.897129186602871
40,T_45_ps_0.14_pd_025_pg_075_ETCfixi_MLkeff,0.26406250000000003,3.4352812104595385,5.5450977165736095,1.3348572734649127,0.0,0.42689295754484274,574,2.7885985748218527,3.833729216152019
23,T_45_ps_0.14_pd_050_pg_001_ETCfixi_MLkeff,0.26406250000000003,3.435260954683331,5.545020245053249,1.3348363077042908,0.0,0.42689547468934114,573,2.84688995215311,3.897129186602871
15,T_45_ps_0.14_pd_050_pg_005_ETCfixi_AliKeff,0.29921875000000003,3.7974855497624405,5.906337252179141,1.4257399788083116,0.0,0.4375898380586357,575,2.836104513064133,3.8812351543942993
51,T_45_ps_0.14_pd_050_pg_005_ETCfixi_MLkeff,0.30996093750000003,3.906360394161477,6.018076119699457,1.452286967136534,0.0,0.4406656630971913,573,2.844868735083532,3.8949880668257757
66,T_45_ps_0.14_pd_050_pg_010_ETCfixi_MLkeff,0.30996093750000003,3.9063660481737257,6.018101695065857,1.4522920303766313,0.0,0.4406650252847011,576,2.8317535545023698,3.874407582938389
5,T_45_ps_0.14_pd_050_pg_025_ETCfixi_MLkeff,0.30996093750000003,3.906364305308035,6.01808936794552,1.4522944142208012,0.0,0.4406652218920561,571,2.803357314148681,3.856115107913669
21,T_45_ps_0.14_pd_050_pg_050_ETCfixi_MLkeff,0.30996093750000003,3.9063640130261685,6.01808903182953,1.452294258072239,0.0,0.44066525486349784,571,2.8014354066985647,3.854066985645933
44,T_45_ps_0.14_pd_050_pg_075_ETCfixi_MLkeff,0.22402343750000003,2.998449522102331,5.021198024038085,1.2129983481591944,0.0,0.4149265915951532,574,2.776722090261283,3.821852731591449
